arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch2_lstm,191,0,1.0,4.91,3.8436,46.691,4358.92,8.757,0.001,49.343
arch2_lstm,191,1,0.975,3.852,3.3446,28.349,4664.19,9.133,0.001,49.343
arch2_lstm,191,2,0.95,3.5296,3.1256,22.773,4668.55,9.131,0.001,49.343
arch2_lstm,191,3,0.925,3.37,2.9913,19.912,4680.94,9.122,0.001,49.343
arch2_lstm,191,4,0.9,3.2813,2.9136,18.423,4679.17,9.021,0.001,49.343
arch2_lstm,191,5,0.875,3.2316,2.8592,17.447,4849.66,9.038,0.001,49.343
arch2_lstm,191,6,0.85,3.2061,2.8213,16.799,4893.98,9.108,0.001,49.343
arch2_lstm,191,7,0.825,3.1962,2.7947,16.358,4704.57,8.977,0.001,49.343
arch2_lstm,191,8,0.8,3.1976,2.768,15.927,4719.66,9.085,0.001,49.343
arch2_lstm,191,9,0.775,3.2072,2.758,15.769,4719.45,8.987,0.001,49.343
arch2_lstm,191,10,0.75,3.2231,2.7552,15.725,4705.94,9.111,0.001,49.343
arch2_lstm,191,11,0.725,3.243,2.7454,15.572,4720.45,8.994,0.001,49.343
arch2_lstm,191,12,0.7,3.2682,2.7458,15.576,4737.82,9.027,0.001,49.343
arch2_lstm,191,13,0.675,3.2969,2.7509,15.657,4764.57,9.037,0.001,49.343
arch2_lstm,191,14,0.65,3.3279,2.7537,15.701,4718.33,8.993,0.001,49.343
arch2_lstm,191,15,0.625,3.362,2.7615,15.824,4708.64,9.021,0.0005,49.343
arch2_lstm,191,16,0.6,3.2917,2.7132,15.077,4696.66,9.149,0.0005,49.343
arch2_lstm,191,17,0.575,3.3105,2.7239,15.24,4722.9,9.115,0.0005,49.343
arch2_lstm,191,18,0.55,3.3489,2.7368,15.438,4730.4,9.091,0.0005,49.343
arch2_lstm,191,19,0.525,3.3919,2.7561,15.738,4754.95,9.111,0.0005,49.343
arch2_lstm,191,20,0.5,3.437,2.7741,16.024,4710.05,8.954,0.00025,49.343
arch2_lstm,191,21,0.5,3.3669,2.7562,15.74,4694.32,8.969,0.00025,49.343
arch2_lstm,191,22,0.5,3.3464,2.7475,15.603,4693.08,9.106,0.00025,49.343
arch2_lstm,191,23,0.5,3.3357,2.7487,15.623,4690.8,8.979,0.00025,49.343
arch2_lstm,191,24,0.5,3.326,2.7502,15.646,4686.79,8.993,0.000125,49.343
arch2_lstm,191,25,0.5,3.2881,2.742,15.518,4722.69,9.101,0.000125,49.343
arch2_lstm,191,26,0.5,3.2776,2.7406,15.497,4714.45,8.996,0.000125,49.343
