arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch3_convs2s,191,0,1.0,4.8769,3.7779,43.723,3475.86,3.628,0.25,22.432
arch3_convs2s,191,1,1.0,3.5953,3.2807,26.593,3485.88,3.667,0.25,22.432
arch3_convs2s,191,2,1.0,3.2511,3.0707,21.556,3398.46,3.715,0.25,22.432
arch3_convs2s,191,3,1.0,3.0752,2.9667,19.428,3388.69,3.734,0.25,22.432
arch3_convs2s,191,4,1.0,2.9632,2.8911,18.013,3400.6,3.715,0.25,22.432
arch3_convs2s,191,5,1.0,2.8832,2.8463,17.224,3418.39,3.724,0.25,22.432
arch3_convs2s,191,6,1.0,2.8228,2.8125,16.651,3395.89,3.716,0.25,22.432
arch3_convs2s,191,7,1.0,2.7741,2.7677,15.921,3137.29,3.72,0.25,22.432
arch3_convs2s,191,8,1.0,2.7346,2.7516,15.668,3148.27,3.742,0.25,22.432
arch3_convs2s,191,9,1.0,2.701,2.7293,15.322,3448.7,3.721,0.25,22.432
arch3_convs2s,191,10,1.0,2.6727,2.7168,15.132,3131.2,3.705,0.25,22.432
arch3_convs2s,191,11,1.0,2.6477,2.7103,15.033,3146.24,3.711,0.25,22.432
arch3_convs2s,191,12,1.0,2.6257,2.6911,14.748,3152.36,3.726,0.25,22.432
arch3_convs2s,191,13,1.0,2.6066,2.6825,14.622,3134.11,3.752,0.25,22.432
arch3_convs2s,191,14,1.0,2.5892,2.6713,14.459,3128.04,3.725,0.25,22.432
arch3_convs2s,191,15,1.0,2.5738,2.6598,14.293,3142.7,3.723,0.25,22.432
arch3_convs2s,191,16,1.0,2.5595,2.6524,14.188,3281.85,3.715,0.25,22.432
arch3_convs2s,191,17,1.0,2.5461,2.6537,14.206,3293.11,3.731,0.25,22.432
arch3_convs2s,191,18,1.0,2.5346,2.6451,14.086,3287.42,3.707,0.25,22.432
arch3_convs2s,191,19,1.0,2.5234,2.6448,14.081,3233.44,3.715,0.25,22.432
arch3_convs2s,191,20,1.0,2.5129,2.6382,13.988,3259.56,3.719,0.25,22.432
arch3_convs2s,191,21,1.0,2.5042,2.6343,13.934,3258.83,3.736,0.25,22.432
arch3_convs2s,191,22,1.0,2.4951,2.63,13.874,3255.89,3.723,0.25,22.432
arch3_convs2s,191,23,1.0,2.487,2.63,13.874,3257.16,3.756,0.25,22.432
arch3_convs2s,191,24,1.0,2.4792,2.6227,13.773,3249.84,3.734,0.25,22.432
arch3_convs2s,191,25,1.0,2.4719,2.6243,13.795,3264.27,3.721,0.25,22.432
arch3_convs2s,191,26,1.0,2.4655,2.6171,13.696,3258.97,3.739,0.25,22.432
arch3_convs2s,191,27,1.0,2.4587,2.6145,13.66,3261.16,3.72,0.25,22.432
arch3_convs2s,191,28,1.0,2.4527,2.6121,13.628,3252.55,3.713,0.25,22.432
arch3_convs2s,191,29,1.0,2.4468,2.6129,13.639,3252.19,3.715,0.25,22.432
arch3_convs2s,191,30,1.0,2.4414,2.6075,13.564,3265.04,3.724,0.25,22.432
arch3_convs2s,191,31,1.0,2.4366,2.61,13.599,3257.3,3.715,0.25,22.432
arch3_convs2s,191,32,1.0,2.4313,2.6148,13.665,3263.9,3.709,0.25,22.432
arch3_convs2s,191,33,1.0,2.4271,2.6155,13.674,3237.27,3.72,0.25,22.432
arch3_convs2s,191,34,1.0,2.422,2.6072,13.562,3252.49,3.713,0.125,22.432
arch3_convs2s,191,35,1.0,2.3321,2.5596,12.93,3241.82,3.722,0.125,22.432
arch3_convs2s,191,36,1.0,2.3192,2.5553,12.876,3262.03,3.712,0.125,22.432
arch3_convs2s,191,37,1.0,2.3138,2.5589,12.922,3254.16,3.723,0.125,22.432
arch3_convs2s,191,38,1.0,2.3095,2.5594,12.928,3256.56,3.717,0.125,22.432
arch3_convs2s,191,39,1.0,2.3063,2.5553,12.876,3250.2,3.735,0.125,22.432
arch3_convs2s,191,40,1.0,2.3032,2.5571,12.899,3256.89,3.713,0.0625,22.432
arch3_convs2s,191,41,1.0,2.2534,2.5303,12.557,3258.07,3.725,0.0625,22.432
arch3_convs2s,191,42,1.0,2.2474,2.5326,12.587,3262.15,3.724,0.0625,22.432
arch3_convs2s,191,43,1.0,2.2446,2.5309,12.564,3265.42,3.737,0.0625,22.432
arch3_convs2s,191,44,1.0,2.2424,2.5349,12.615,3386.7,3.725,0.0625,22.432
arch3_convs2s,191,45,1.0,2.2402,2.5303,12.557,3201.62,3.714,0.03125,22.432
arch3_convs2s,191,46,1.0,2.2127,2.5226,12.461,3207.21,3.718,0.03125,22.432
arch3_convs2s,191,47,1.0,2.2098,2.5223,12.457,3212.05,3.718,0.03125,22.432
arch3_convs2s,191,48,1.0,2.2083,2.5248,12.489,3223.68,3.721,0.03125,22.432
arch3_convs2s,191,49,1.0,2.2069,2.5231,12.467,3204.81,3.721,0.03125,22.432
arch3_convs2s,191,50,1.0,2.2056,2.5212,12.443,3206.0,3.722,0.03125,22.432
arch3_convs2s,191,51,1.0,2.2045,2.5234,12.471,3206.64,3.722,0.03125,22.432
arch3_convs2s,191,52,1.0,2.2034,2.5215,12.448,3205.37,3.723,0.03125,22.432
arch3_convs2s,191,53,1.0,2.2025,2.5196,12.424,3210.12,3.722,0.03125,22.432
arch3_convs2s,191,54,1.0,2.2015,2.5253,12.495,3204.97,3.721,0.03125,22.432
arch3_convs2s,191,55,1.0,2.2008,2.5239,12.478,3222.99,3.741,0.03125,22.432
arch3_convs2s,191,56,1.0,2.1998,2.5229,12.465,3213.06,3.705,0.03125,22.432
arch3_convs2s,191,57,1.0,2.1988,2.5204,12.433,3208.84,3.725,0.015625,22.432
arch3_convs2s,191,58,1.0,2.184,2.5204,12.434,3206.36,3.738,0.015625,22.432
arch3_convs2s,191,59,1.0,2.1826,2.524,12.478,3211.33,3.731,0.015625,22.432
arch3_convs2s,191,60,1.0,2.1823,2.5207,12.438,3324.53,3.721,0.015625,22.432
arch3_convs2s,191,61,1.0,2.1817,2.5205,12.435,3325.91,3.714,0.007812,22.432
arch3_convs2s,191,62,1.0,2.1735,2.5146,12.361,3321.2,3.73,0.007812,22.432
arch3_convs2s,191,63,1.0,2.173,2.5155,12.372,3324.49,3.713,0.007812,22.432
arch3_convs2s,191,64,1.0,2.1726,2.516,12.378,3325.95,3.704,0.007812,22.432
arch3_convs2s,191,65,1.0,2.1722,2.5146,12.362,3321.74,3.735,0.007812,22.432
arch3_convs2s,191,66,1.0,2.1719,2.5164,12.384,3331.1,3.715,0.003906,22.432
arch3_convs2s,191,67,1.0,2.1679,2.5144,12.359,3326.77,3.713,0.003906,22.432
arch3_convs2s,191,68,1.0,2.1672,2.5123,12.334,3326.55,3.759,0.003906,22.432
arch3_convs2s,191,69,1.0,2.1672,2.5141,12.355,3329.37,3.718,0.003906,22.432
arch3_convs2s,191,70,1.0,2.1671,2.5138,12.351,3320.84,3.721,0.003906,22.432
arch3_convs2s,191,71,1.0,2.1671,2.5139,12.353,3313.26,3.722,0.003906,22.432
arch3_convs2s,191,72,1.0,2.1666,2.5158,12.376,3318.78,3.715,0.001953,22.432
arch3_convs2s,191,73,1.0,2.1642,2.514,12.354,3321.07,3.713,0.001953,22.432
arch3_convs2s,191,74,1.0,2.1645,2.5132,12.345,3311.24,3.714,0.001953,22.432
arch3_convs2s,191,75,1.0,2.1641,2.5139,12.353,3309.73,3.713,0.001953,22.432
arch3_convs2s,191,76,1.0,2.1642,2.5127,12.338,3305.43,3.721,0.000977,22.432
arch3_convs2s,191,77,1.0,2.1633,2.513,12.342,3307.46,3.737,0.000977,22.432
arch3_convs2s,191,78,1.0,2.163,2.5137,12.351,3308.67,3.714,0.000977,22.432
