arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch4_transformer,191,0,1.0,6.8544,5.6568,286.226,911.16,3.313,0.000467,19.252
arch4_transformer,191,1,1.0,5.2414,4.7338,113.726,918.15,3.315,0.000933,19.252
arch4_transformer,191,2,1.0,4.5081,4.1643,64.351,927.03,3.314,0.00083,19.252
arch4_transformer,191,3,1.0,4.0989,3.9088,49.838,924.15,3.284,0.000719,19.252
arch4_transformer,191,4,1.0,3.7953,3.5047,33.271,916.27,3.275,0.000643,19.252
arch4_transformer,191,5,1.0,3.3559,2.9903,19.892,923.76,3.284,0.000587,19.252
arch4_transformer,191,6,1.0,3.0596,2.7891,16.266,924.67,3.315,0.000544,19.252
arch4_transformer,191,7,1.0,2.8917,2.6789,14.569,921.86,3.314,0.000508,19.252
arch4_transformer,191,8,1.0,2.7835,2.6022,13.494,919.17,3.314,0.000479,19.252
arch4_transformer,191,9,1.0,2.7054,2.5604,12.941,918.24,3.317,0.000455,19.252
arch4_transformer,191,10,1.0,2.6466,2.5181,12.405,920.22,3.284,0.000434,19.252
arch4_transformer,191,11,1.0,2.5994,2.4795,11.935,921.13,3.315,0.000415,19.252
arch4_transformer,191,12,1.0,2.5606,2.4499,11.587,916.67,3.282,0.000399,19.252
arch4_transformer,191,13,1.0,2.5281,2.4363,11.431,913.62,3.314,0.000384,19.252
arch4_transformer,191,14,1.0,2.4998,2.4107,11.142,916.98,3.286,0.000371,19.252
arch4_transformer,191,15,1.0,2.4753,2.3968,10.988,924.96,3.315,0.00036,19.252
arch4_transformer,191,16,1.0,2.4537,2.3913,10.927,914.43,3.284,0.000349,19.252
arch4_transformer,191,17,1.0,2.435,2.3719,10.718,913.69,3.314,0.000339,19.252
arch4_transformer,191,18,1.0,2.4179,2.3576,10.566,919.03,3.285,0.00033,19.252
arch4_transformer,191,19,1.0,2.4023,2.3427,10.409,926.41,3.282,0.000322,19.252
arch4_transformer,191,20,1.0,2.3884,2.343,10.412,926.84,3.286,0.000314,19.252
arch4_transformer,191,21,1.0,2.3755,2.3337,10.316,909.31,3.25,0.000307,19.252
arch4_transformer,191,22,1.0,2.3641,2.3245,10.222,950.44,3.388,0.0003,19.252
arch4_transformer,191,23,1.0,2.3533,2.3141,10.116,957.48,3.36,0.000294,19.252
arch4_transformer,191,24,1.0,2.3437,2.3075,10.049,965.51,3.388,0.000288,19.252
arch4_transformer,191,25,1.0,2.334,2.3048,10.022,961.07,3.388,0.000282,19.252
arch4_transformer,191,26,1.0,2.3258,2.299,9.964,966.65,3.387,0.000277,19.252
arch4_transformer,191,27,1.0,2.3174,2.2922,9.897,966.12,3.387,0.000272,19.252
arch4_transformer,191,28,1.0,2.3102,2.2845,9.82,963.61,3.387,0.000267,19.252
arch4_transformer,191,29,1.0,2.3032,2.2869,9.845,960.62,3.387,0.000263,19.252
arch4_transformer,191,30,1.0,2.2965,2.2777,9.754,958.15,3.389,0.000258,19.252
arch4_transformer,191,31,1.0,2.2902,2.2785,9.762,960.96,3.343,0.000254,19.252
